seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,coverage,selective_risk,number_accepted,number_abstained
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.05,hybrid,0.6,0.9282692307692307,0.02589600165734407,4827.0,373.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.05,hybrid,0.7,0.9155769230769231,0.022054190296156295,4761.0,439.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.05,hybrid,0.8,0.8776923076923077,0.01446099912357579,4564.0,636.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.05,hybrid,0.9,0.8203846153846154,0.008204406938584152,4266.0,934.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.05,hybrid,0.95,0.7721153846153846,0.005230386052303859,4015.0,1185.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.05,singleton_conformal,,0.9409615384615385,0.03331289597384013,4893.0,307.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.1,hybrid,0.5,0.9705769230769231,0.04061818902318204,5047.0,153.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.1,hybrid,0.6,0.9494230769230769,0.031395584362973517,4937.0,263.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.1,hybrid,0.7,0.9180769230769231,0.022832006702974472,4774.0,426.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.1,hybrid,0.8,0.8776923076923077,0.01446099912357579,4564.0,636.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.1,hybrid,0.9,0.8203846153846154,0.008204406938584152,4266.0,934.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.1,hybrid,0.95,0.7721153846153846,0.005230386052303859,4015.0,1185.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.1,singleton_conformal,,0.9705769230769231,0.04061818902318204,5047.0,153.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.2,hybrid,0.5,0.8734615384615385,0.01387054161162482,4542.0,658.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.2,hybrid,0.6,0.8734615384615385,0.01387054161162482,4542.0,658.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.2,hybrid,0.7,0.8734615384615385,0.01387054161162482,4542.0,658.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.2,hybrid,0.8,0.8734615384615385,0.01387054161162482,4542.0,658.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.2,hybrid,0.9,0.8203846153846154,0.008204406938584152,4266.0,934.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.2,hybrid,0.95,0.7721153846153846,0.005230386052303859,4015.0,1185.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",standard_conformal,0.2,singleton_conformal,,0.8734615384615385,0.01387054161162482,4542.0,658.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,confidence_threshold,0.5,0.9786538461538462,0.044016506189821225,5089.0,111.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,confidence_threshold,0.6,0.9494230769230769,0.031395584362973517,4937.0,263.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,confidence_threshold,0.7,0.9180769230769231,0.022832006702974472,4774.0,426.0
17,class_imbalance,strong,"{""majority_classes"":[0,1,8,9],""minority_fraction"":0.2}",temperature_scaled,,confidence_threshold,0.8,0.8776923076923077,0.01446099912357579,4564.0,636.0
