seed,shift_name,severity_name,scenario_parameters,method_name,alpha,abstention_policy,abstention_threshold,metric_name,metric_value
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.5,selective_accuracy,0.9482031943212067
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.5,selective_risk,0.0517968056787933
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.6,abstention_rate,0.1088
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.6,acceptance_rate,0.8912
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.6,number_abstained,1088.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.6,number_accepted,8912.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.6,selective_accuracy,0.9533213644524237
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.6,selective_risk,0.04667863554757634
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.7,abstention_rate,0.1278
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.7,acceptance_rate,0.8722
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.7,number_abstained,1278.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.7,number_accepted,8722.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.7,selective_accuracy,0.961018115111213
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.7,selective_risk,0.038981884888786955
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.8,abstention_rate,0.1791
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.8,acceptance_rate,0.8209
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.8,number_abstained,1791.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.8,number_accepted,8209.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.8,selective_accuracy,0.9729565111463029
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.8,selective_risk,0.027043488853697117
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.9,abstention_rate,0.2523
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.9,acceptance_rate,0.7477
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.9,number_abstained,2523.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.9,number_accepted,7477.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.9,selective_accuracy,0.9839507823993581
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.9,selective_risk,0.01604921760064193
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.95,abstention_rate,0.3157
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.95,acceptance_rate,0.6843
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.95,number_abstained,3157.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.95,number_accepted,6843.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.95,selective_accuracy,0.9902089726728043
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,hybrid,0.95,selective_risk,0.009791027327195723
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,singleton_conformal,,abstention_rate,0.0912
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,singleton_conformal,,acceptance_rate,0.9088
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,singleton_conformal,,number_abstained,912.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,singleton_conformal,,number_accepted,9088.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,singleton_conformal,,selective_accuracy,0.9441021126760564
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,singleton_conformal,,selective_risk,0.05589788732394363
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,average_set_size,1.0915
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,coverage_gap,-0.007199999999999984
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,empirical_coverage,0.9428
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,empty_set_rate,0.0002
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,median_set_size,1.0
17,brightness_contrast,increased_contrast,"{""brightness"":1.0,""contrast"":1.5}",standard_conformal,0.05,,,multiclass_set_rate,0.091
